lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,0.5,1,0.05,0.7,0.6131128031492876,0.6054852801303117,0.9456194652222509
10,0.5,1,0.05,0.9,0.6075017035112784,0.6135622709564051,0.9328547273092024
10,0.5,1,0.1,0.5,0.5999703127475926,0.5826852425151355,0.9391339237096266
10,0.5,1,0.1,0.6,0.601563897550464,0.5891824228224252,0.9437852864471384
10,0.5,1,0.1,0.7,0.6177648647789278,0.6098773871064211,0.9466540566875877
10,0.5,1,0.1,0.9,0.6092880239628496,0.6113793760721774,0.93335052875935
10,0.5,1,0.3,0.5,0.5971748262760507,0.561342027975509,0.9443097469406472
10,0.5,1,0.3,0.6,0.6001913264983367,0.5695853953339871,0.9463760639669848
10,0.5,1,0.3,0.7,0.6176743611595352,0.59479938399472,0.9488321439830338
10,0.5,1,0.3,0.9,0.6090252874948907,0.5957656099014599,0.9334708967414668
10,0.5,3,0.05,0.5,0.5987517759826244,0.582095246740316,0.9376837761155533
10,0.5,3,0.05,0.6,0.5973000416892514,0.5852154218224161,0.9420456825151177
10,0.5,3,0.05,0.7,0.6125102542916934,0.6053404935167845,0.9442295016192359
10,0.5,3,0.05,0.9,0.6068582259375577,0.6133154779379332,0.9314103115238014
10,0.5,3,0.1,0.5,0.5995686871850413,0.582759809492192,0.938130857191987
10,0.5,3,0.1,0.6,0.6010549585004691,0.5891478381592349,0.9425300203479208
10,0.5,3,0.1,0.7,0.6171535051147824,0.6097615212464186,0.9452211045195311
10,0.5,3,0.1,0.9,0.608614676313865,0.6111844938565636,0.9318144040351933
10,0.5,3,0.3,0.5,0.5967477048866143,0.5616040374507181,0.9428939901986072
10,0.5,3,0.3,0.6,0.5996197522331728,0.5697227877123205,0.944662253173989
10,0.5,3,0.3,0.7,0.6169985152599003,0.5948039946383382,0.9468317427564268
10,0.5,3,0.3,0.9,0.6082424040668948,0.5956293174610071,0.9312842117330123
10,0.7,1,0.05,0.5,0.6054817003222688,0.5959517670666168,0.9452870203192617
10,0.7,1,0.05,0.6,0.6063038044021984,0.6002696767292878,0.9453128134582868
10,0.7,1,0.05,0.7,0.6131128031492876,0.6054852801303117,0.9456194652222509
10,0.7,1,0.05,0.9,0.6075017035112784,0.6135622709564051,0.9328547273092024
10,0.7,1,0.1,0.5,0.6076108748031123,0.5988031619743559,0.9461324620984152
10,0.7,1,0.1,0.6,0.6081478676852043,0.6005837296050571,0.9468002178087296
10,0.7,1,0.1,0.7,0.6177648647789278,0.6098773871064211,0.9466540566875877
10,0.7,1,0.1,0.9,0.6092880239628496,0.6113793760721774,0.93335052875935
